jct,workloads,scheduler
1.0219226822967595,Kmeans,YARN
1.295081967,Kmeans,Toposch-n
1.0103883199592758,Kmeans,YARN
1.319672131,Kmeans,Toposch-n
1.057377049,Kmeans,YARN
1.319672131,Kmeans,Toposch-n
1.057377049,Kmeans,YARN
1.344262295,Kmeans,Toposch-n
1.12295082,Kmeans,YARN
1.2704918029999999,Kmeans,Toposch-n
1.155737705,Kmeans,YARN
1.409836066,Kmeans,Toposch-n
1.163934426,Kmeans,YARN
1.393442623,Kmeans,Toposch-n
1.1475409840000002,Kmeans,YARN
1.368852459,Kmeans,Toposch-n
1.172131148,Kmeans,YARN
1.426229508,Kmeans,Toposch-n
1.18852459,Kmeans,YARN
1.368852459,Kmeans,Toposch-n
1.155737705,Kmeans,YARN
1.393442623,Kmeans,Toposch-n
1.155737705,Kmeans,YARN
1.4016393440000001,Kmeans,Toposch-n
1.1475409840000002,Kmeans,YARN
1.368852459,Kmeans,Toposch-n
1.163934426,Kmeans,YARN
1.409836066,Kmeans,Toposch-n
1.180327869,Kmeans,YARN
1.4016393440000001,Kmeans,Toposch-n
1.172131148,Kmeans,YARN
1.4180327869999998,Kmeans,Toposch-n
1.180327869,Kmeans,YARN
1.4180327869999998,Kmeans,Toposch-n
1.163934426,Kmeans,YARN
1.4016393440000001,Kmeans,Toposch-n
1.155737705,Kmeans,YARN
1.4180327869999998,Kmeans,Toposch-n
1.155737705,Kmeans,YARN
1.393442623,Kmeans,Toposch-n
1.163934426,Kmeans,YARN
1.368852459,Kmeans,Toposch-n
1.172131148,Kmeans,YARN
1.426229508,Kmeans,Toposch-n
1.180327869,Kmeans,YARN
1.393442623,Kmeans,Toposch-n
1.1475409840000002,Kmeans,YARN
1.409836066,Kmeans,Toposch-n
1.180327869,Kmeans,YARN
1.393442623,Kmeans,Toposch-n
1.18852459,Kmeans,YARN
1.409836066,Kmeans,Toposch-n
1.18852459,Kmeans,YARN
1.393442623,Kmeans,Toposch-n
1.163934426,Kmeans,YARN
1.426229508,Kmeans,Toposch-n
1.18852459,Kmeans,YARN
1.426229508,Kmeans,Toposch-n
1.172131148,Kmeans,YARN
1.4180327869999998,Kmeans,Toposch-n
1.155737705,Kmeans,YARN
1.368852459,Kmeans,Toposch-n
1.18852459,Kmeans,YARN
1.368852459,Kmeans,Toposch-n
1.1475409840000002,Kmeans,YARN
1.368852459,Kmeans,Toposch-n
1.180327869,Kmeans,YARN
1.37704918,Kmeans,Toposch-n
1.163934426,Kmeans,YARN
1.426229508,Kmeans,Toposch-n
1.18852459,Kmeans,YARN
1.4180327869999998,Kmeans,Toposch-n
1.155737705,Kmeans,YARN
1.4180327869999998,Kmeans,Toposch-n
1.18852459,Kmeans,YARN
1.3852459019999999,Kmeans,Toposch-n
1.1475409840000002,Kmeans,YARN
1.37704918,Kmeans,Toposch-n
1.172131148,Kmeans,YARN
1.409836066,Kmeans,Toposch-n
1.18852459,Kmeans,YARN
1.4016393440000001,Kmeans,Toposch-n
1.155737705,Kmeans,YARN
1.368852459,Kmeans,Toposch-n
1.180327869,Kmeans,YARN
1.409836066,Kmeans,Toposch-n
1.1475409840000002,Kmeans,YARN
1.393442623,Kmeans,Toposch-n
1.180327869,Kmeans,YARN
1.368852459,Kmeans,Toposch-n
1.18852459,Kmeans,YARN
1.426229508,Kmeans,Toposch-n
1.1475409840000002,Kmeans,YARN
1.426229508,Kmeans,Toposch-n
1.180327869,Kmeans,YARN
1.3852459019999999,Kmeans,Toposch-n
1.1475409840000002,Kmeans,YARN
1.368852459,Kmeans,Toposch-n
1.172131148,Kmeans,YARN
1.4016393440000001,Kmeans,Toposch-n
1.180327869,Kmeans,YARN
1.393442623,Kmeans,Toposch-n
1.18852459,Kmeans,YARN
1.4180327869999998,Kmeans,Toposch-n
1.155737705,Kmeans,YARN
1.3852459019999999,Kmeans,Toposch-n
1.163934426,Kmeans,YARN
1.409836066,Kmeans,Toposch-n
1.172131148,Kmeans,YARN
1.426229508,Kmeans,Toposch-n
1.172131148,Kmeans,YARN
1.37704918,Kmeans,Toposch-n
1.155737705,Kmeans,YARN
1.393442623,Kmeans,Toposch-n
1.163934426,Kmeans,YARN
1.4180327869999998,Kmeans,Toposch-n
1.18852459,Kmeans,YARN
1.409836066,Kmeans,Toposch-n
1.155737705,Kmeans,YARN
1.3852459019999999,Kmeans,Toposch-n
1.163934426,Kmeans,YARN
1.409836066,Kmeans,Toposch-n
1.180327869,Kmeans,YARN
1.4016393440000001,Kmeans,Toposch-n
1.155737705,Kmeans,YARN
1.426229508,Kmeans,Toposch-n
1.1475409840000002,Kmeans,YARN
1.3852459019999999,Kmeans,Toposch-n
1.18852459,Kmeans,YARN
1.393442623,Kmeans,Toposch-n
1.18852459,Kmeans,YARN
1.368852459,Kmeans,Toposch-n
1.163934426,Kmeans,YARN
1.37704918,Kmeans,Toposch-n
1.163934426,Kmeans,YARN
1.368852459,Kmeans,Toposch-n
1.1475409840000002,Kmeans,YARN
1.393442623,Kmeans,Toposch-n
1.155737705,Kmeans,YARN
1.368852459,Kmeans,Toposch-n
1.180327869,Kmeans,YARN
1.4016393440000001,Kmeans,Toposch-n
1.180327869,Kmeans,YARN
1.393442623,Kmeans,Toposch-n
1.18852459,Kmeans,YARN
1.409836066,Kmeans,Toposch-n
1.163934426,Kmeans,YARN
1.409836066,Kmeans,Toposch-n
1.163934426,Kmeans,YARN
1.426229508,Kmeans,Toposch-n
1.1475409840000002,Kmeans,YARN
1.3852459019999999,Kmeans,Toposch-n
1.155737705,Kmeans,YARN
1.368852459,Kmeans,Toposch-n
1.155737705,Kmeans,YARN
1.4180327869999998,Kmeans,Toposch-n
1.155737705,Kmeans,YARN
1.426229508,Kmeans,Toposch-n
1.155737705,Kmeans,YARN
1.393442623,Kmeans,Toposch-n
1.155737705,Kmeans,YARN
1.426229508,Kmeans,Toposch-n
1.1475409840000002,Kmeans,YARN
1.3852459019999999,Kmeans,Toposch-n
1.1475409840000002,Kmeans,YARN
1.426229508,Kmeans,Toposch-n
1.155737705,Kmeans,YARN
1.37704918,Kmeans,Toposch-n
1.163934426,Kmeans,YARN
1.409836066,Kmeans,Toposch-n
1.180327869,Kmeans,YARN
1.393442623,Kmeans,Toposch-n
1.180327869,Kmeans,YARN
1.409836066,Kmeans,Toposch-n
1.163934426,Kmeans,YARN
1.37704918,Kmeans,Toposch-n
1.1475409840000002,Kmeans,YARN
1.393442623,Kmeans,Toposch-n
1.155737705,Kmeans,YARN
1.393442623,Kmeans,Toposch-n
1.180327869,Kmeans,YARN
1.3852459019999999,Kmeans,Toposch-n
1.172131148,Kmeans,YARN
1.4016393440000001,Kmeans,Toposch-n
1.180327869,Kmeans,YARN
1.37704918,Kmeans,Toposch-n
1.1475409840000002,Kmeans,YARN
1.426229508,Kmeans,Toposch-n
1.180327869,Kmeans,YARN
1.4180327869999998,Kmeans,Toposch-n
1.1475409840000002,Kmeans,YARN
1.426229508,Kmeans,Toposch-n
1.18852459,Kmeans,YARN
1.3852459019999999,Kmeans,Toposch-n
1.245901639,Kmeans,YARN
1.442622951,Kmeans,Toposch-n
1.245901639,Kmeans,YARN
1.450819672,Kmeans,Toposch-n
1.245901639,Kmeans,YARN
1.442622951,Kmeans,Toposch-n
1.42486562,Kmeans,Quasar
1.338294245,Kmeans,Quasar
1.342906975,Kmeans,Quasar
1.353215,Kmeans,Quasar
1.498144503,Kmeans,Quasar
1.574533156,Kmeans,Quasar
1.57355429,Kmeans,Quasar
1.5766971019999998,Kmeans,Quasar
1.57827546,Kmeans,Quasar
1.526205689,Kmeans,Quasar
1.57833251,Kmeans,Quasar
1.586910645,Kmeans,Quasar
1.54090376,Kmeans,Quasar
1.557530319,Kmeans,Quasar
1.5628564090000001,Kmeans,Quasar
1.555925194,Kmeans,Quasar
1.598827535,Kmeans,Quasar
1.548421425,Kmeans,Quasar
1.5737387809999999,Kmeans,Quasar
1.5736159109999999,Kmeans,Quasar
1.5349209480000001,Kmeans,Quasar
1.538292723,Kmeans,Quasar
1.5700206069999998,Kmeans,Quasar
1.5500284009999998,Kmeans,Quasar
1.555681481,Kmeans,Quasar
1.5488935430000002,Kmeans,Quasar
1.588374874,Kmeans,Quasar
1.57452218,Kmeans,Quasar
1.5667616919999998,Kmeans,Quasar
1.578620889,Kmeans,Quasar
1.533472785,Kmeans,Quasar
1.5669420459999999,Kmeans,Quasar
1.5812629009999999,Kmeans,Quasar
1.585006665,Kmeans,Quasar
1.534670005,Kmeans,Quasar
1.555928186,Kmeans,Quasar
1.51840983,Kmeans,Quasar
1.580146219,Kmeans,Quasar
1.554119031,Kmeans,Quasar
1.5425089419999998,Kmeans,Quasar
1.545734837,Kmeans,Quasar
1.575182862,Kmeans,Quasar
1.603004853,Kmeans,Quasar
1.553765644,Kmeans,Quasar
1.538450546,Kmeans,Quasar
1.529941921,Kmeans,Quasar
1.558280721,Kmeans,Quasar
1.541313226,Kmeans,Quasar
1.5404242559999999,Kmeans,Quasar
1.5756748809999999,Kmeans,Quasar
1.549586119,Kmeans,Quasar
1.575622826,Kmeans,Quasar
1.5520492890000002,Kmeans,Quasar
1.573974889,Kmeans,Quasar
1.5621148230000002,Kmeans,Quasar
1.569868435,Kmeans,Quasar
1.5330421280000002,Kmeans,Quasar
1.549145336,Kmeans,Quasar
1.566077027,Kmeans,Quasar
1.536338208,Kmeans,Quasar
1.56956627,Kmeans,Quasar
