workloads,service,scheduler,value
Kmeans,homepage,YARN,1.89
Kmeans,inbox,YARN,1.78
Kmeans,inboxlist,YARN,2.01
Kmeans,login,YARN,1.57
Kmeans,loginpage,YARN,1.61
Kmeans,logout,YARN,1.42
Kmeans,demand,YARN,1.67
Kmeans,demandlist,YARN,2.25
Kmeans,homepage,Toposch-n,1.31
Kmeans,inbox,Toposch-n,1.25
Kmeans,inboxlist,Toposch-n,1.44
Kmeans,login,Toposch-n,1.21
Kmeans,loginpage,Toposch-n,1.24
Kmeans,logout,Toposch-n,1.19
Kmeans,demand,Toposch-n,1.28
Kmeans,demandlist,Toposch-n,1.6
Kmeans,homepage,Quasar,1.29
Kmeans,inbox,Quasar,1.26
Kmeans,inboxlist,Quasar,1.39
Kmeans,login,Quasar,1.17
Kmeans,loginpage,Quasar,1.2
Kmeans,logout,Quasar,1.14
Kmeans,demand,Quasar,1.23
Kmeans,demandlist,Quasar,1.55
Kmeans,homepage,ROSE,1.51
Kmeans,inbox,ROSE,1.31
Kmeans,inboxlist,ROSE,1.52
Kmeans,login,ROSE,1.34
Kmeans,loginpage,ROSE,1.31
Kmeans,logout,ROSE,1.26
Kmeans,demand,ROSE,1.47
Kmeans,demandlist,ROSE,1.7
Kmeans,homepage,PID-Sched,1.46
Kmeans,inbox,PID-Sched,1.29
Kmeans,inboxlist,PID-Sched,1.46
Kmeans,login,PID-Sched,1.23
Kmeans,loginpage,PID-Sched,1.27
Kmeans,logout,PID-Sched,1.24
Kmeans,demand,PID-Sched,1.43
Kmeans,demandlist,PID-Sched,1.67
Kmeans,homepage,DRL-Sched,1.26
Kmeans,inbox,DRL-Sched,1.18
Kmeans,inboxlist,DRL-Sched,1.35
Kmeans,login,DRL-Sched,1.14
Kmeans,loginpage,DRL-Sched,1.19
Kmeans,logout,DRL-Sched,1.16
Kmeans,demand,DRL-Sched,1.21
Kmeans,demandlist,DRL-Sched,1.53
Kmeans,homepage,COLTER,1.24
Kmeans,inbox,COLTER,1.16
Kmeans,inboxlist,COLTER,1.32
Kmeans,login,COLTER,1.12
Kmeans,loginpage,COLTER,1.18
Kmeans,logout,COLTER,1.14
Kmeans,demand,COLTER,1.18
Kmeans,demandlist,COLTER,1.5
PageRank,homepage,YARN,1.71
PageRank,inbox,YARN,1.65
PageRank,inboxlist,YARN,1.83
PageRank,login,YARN,1.55
PageRank,loginpage,YARN,1.52
PageRank,logout,YARN,1.4
PageRank,demand,YARN,1.58
PageRank,demandlist,YARN,1.98
PageRank,homepage,Toposch-n,1.28
PageRank,inbox,Toposch-n,1.18
PageRank,inboxlist,Toposch-n,1.4
PageRank,login,Toposch-n,1.14
PageRank,loginpage,Toposch-n,1.22
PageRank,logout,Toposch-n,1.2
PageRank,demand,Toposch-n,1.24
PageRank,demandlist,Toposch-n,1.51
PageRank,homepage,Quasar,1.26
PageRank,inbox,Quasar,1.18
PageRank,inboxlist,Quasar,1.39
PageRank,login,Quasar,1.14
PageRank,loginpage,Quasar,1.14
PageRank,logout,Quasar,1.18
PageRank,demand,Quasar,1.2
PageRank,demandlist,Quasar,1.45
PageRank,homepage,ROSE,1.5
PageRank,inbox,ROSE,1.37
PageRank,inboxlist,ROSE,1.47
PageRank,login,ROSE,1.32
PageRank,loginpage,ROSE,1.38
PageRank,logout,ROSE,1.31
PageRank,demand,ROSE,1.44
PageRank,demandlist,ROSE,1.64
PageRank,homepage,PID-Sched,1.42
PageRank,inbox,PID-Sched,1.27
PageRank,inboxlist,PID-Sched,1.43
PageRank,login,PID-Sched,1.27
PageRank,loginpage,PID-Sched,1.31
PageRank,logout,PID-Sched,1.22
PageRank,demand,PID-Sched,1.37
PageRank,demandlist,PID-Sched,1.61
PageRank,homepage,DRL-Sched,1.24
PageRank,inbox,DRL-Sched,1.17
PageRank,inboxlist,DRL-Sched,1.33
PageRank,login,DRL-Sched,1.12
PageRank,loginpage,DRL-Sched,1.18
PageRank,logout,DRL-Sched,1.13
PageRank,demand,DRL-Sched,1.19
PageRank,demandlist,DRL-Sched,1.43
PageRank,homepage,COLTER,1.22
PageRank,inbox,COLTER,1.18
PageRank,inboxlist,COLTER,1.31
PageRank,login,COLTER,1.11
PageRank,loginpage,COLTER,1.19
PageRank,logout,COLTER,1.1
PageRank,demand,COLTER,1.18
PageRank,demandlist,COLTER,1.4
Terasort,homepage,YARN,1.64
Terasort,inbox,YARN,1.58
Terasort,inboxlist,YARN,1.78
Terasort,login,YARN,1.35
Terasort,loginpage,YARN,1.29
Terasort,logout,YARN,1.13
Terasort,demand,YARN,1.39
Terasort,demandlist,YARN,1.58
Terasort,homepage,Toposch-n,1.26
Terasort,inbox,Toposch-n,1.14
Terasort,inboxlist,Toposch-n,1.3
Terasort,login,Toposch-n,1.12
